total_rooms,population,median_income,median_house_value
3554,1600,6.6453,270100
2000,880,5.635,218900
2980,1370,5.0866,223500
5203,2465,5.163,261000
1483,738,6,271400
3244,1259,7.7854,395300
1885,764,4.0385,265700
1594,633,5.9582,350700
1523,676,3.3621,377200
2485,1072,6.0878,430200
249,268,15.0001,500001
3359,1227,4.645,276200
2007,921,6.5989,500001
2522,1113,5.2249,445200
2170,984,5.6916,500001
1275,598,7.1885,500001
2302,1590,4.8017,273800
2317,1155,4.1488,235300
2597,1542,4.6211,248900
2001,1461,3.8304,183000
1339,817,2.8333,186000
1148,975,4.037,173300
177,269,2.3611,131300
2451,2536,2.3098,173100
1258,988,3.2132,176100
957,1300,2.1383,153400
2019,2481,3.1875,154200
1058,1043,3.0536,137500
1252,1337,2.6579,156800
1734,1527,3,160600
1619,1492,3.5,165100
5308,2114,5.1985,279200
2530,1262,3.6475,197100
3531,1613,3.2359,198600
1951,1362,3,163200
2446,1699,2.625,163300
1617,1158,1.9688,165600
3040,1580,2.3182,182100
2376,1968,2.6082,162500
2945,2313,2.5686,177500
1430,1269,3.3214,148800
1948,1163,3.225,154000
2722,1390,3.8214,178500
1976,1236,4.615,174000
1945,1227,5.2162,171900
1328,1115,4.2051,164400
3808,2430,4.625,173900
1726,1293,4.3849,144100
1045,1165,3.1979,161800
2469,2151,3.4219,156200
1995,1573,3.4907,153500
15,15,0.4999,162500
4807,3059,5.7619,297300
4626,2794,5.6917,275100
2358,1387,6.299,285800
2870,1671,7.2628,322700
2233,1162,5.6094,279200
6623,3193,4.5395,256000
1488,972,4.055,201900
4526,2318,4.6681,320700
4105,2072,5.844,273900
2990,1849,5.6846,216100
4057,2204,5.8527,241000
3642,1623,5.8426,259400
3715,1640,5.7705,247100
4061,1623,7.1572,294900
2070,878,7.0879,338800
3757,1291,5.2001,235600
2532,1274,5.3559,235800
1836,942,4.0238,182500
4494,2222,4.7821,169400
4014,1605,6.0102,396900
2090,896,2.0357,74200
2535,1036,5.0482,388900
3908,1688,4.5625,376800
5131,1877,8.2004,500001
3264,1475,3.735,218300
5218,2302,3.55,476700
1410,677,3.2596,272400
2065,1313,4.0179,274300
2143,1107,4.2321,252200
602,409,3.5268,146400
572,752,2.0433,138800
1572,1857,2.4914,159200
4909,4983,2.7254,143500
4492,4119,3.2373,183100
531,722,2.1406,162500
2286,2991,2.1781,174500
1022,1570,3.023,142000
1084,920,3.7279,162200
1348,1098,4.2917,161200
40,25,2.125,375000
2480,1085,5.193,263400
1619,886,3.7328,182400
1694,1222,2.8311,155300
1406,1174,2.0147,137500
2142,1305,4.0379,172800
2854,2816,3.6,154000
2622,2778,2.9714,160300
495,527,1.9453,149000
2107,2241,3.1513,150000
1999,2170,3.2371,154700
4928,2952,5.8855,313800
2851,1985,5.4089,265600
2676,1377,6.5513,350400
2856,1212,6.1737,313100
4316,2286,5.7018,286700
1548,732,5.123,159600
2997,1323,8.6123,386700
2523,1377,5.2542,234600
1863,1260,3.2465,277400
3112,1098,6,353500
3414,1272,8.7015,390900
2472,1301,5.0699,266100
1875,900,5.2589,226100
2673,1192,4.1862,188900
4150,1424,8.8281,461600
7017,2427,10.1154,477700
1962,730,2.25,67500
2606,1228,2.5764,150000
2726,1059,7.2419,410400
1467,816,3.6705,286500
2297,909,4.8214,362500
2461,1179,7.0315,437300
2662,1151,8.4889,500001
4307,1769,3.6341,391500
12139,5359,3.292,227300
3891,1848,3.6639,248100
2603,1196,3.0854,248700
1833,786,3.5761,256700
1576,697,4.3523,283600
3229,1599,3.8646,257100
2438,1308,3.6995,260100
1960,874,4.8594,265900
1975,1116,4.2898,251600
2036,1096,4.0625,262500
1239,717,3.244,258100
778,850,2.5119,180500
1197,942,3.4202,189100
2308,3034,2.3929,184400
2127,3160,2.5763,173900
1778,2184,1.9189,165900
1516,1011,2.6288,160300
3548,2653,5.2557,188800
1962,1488,3.9091,155100
1588,827,3.7833,166100
1203,637,3.3611,174400
1471,670,4.5478,188000
862,484,4.375,186200
1146,579,2.9583,172600
1342,615,5.4381,186900
1723,1221,3.3562,169200
1410,932,4.2206,178000
1862,975,4.7266,177600
1639,988,3.9612,175800
1645,1077,4.3203,159200
1360,909,4.6731,173300
4880,4516,4.1387,157700
1161,882,4.4167,158000
2483,1538,5.1104,220500
7187,3844,6.5901,337400
5603,3045,5.0778,293700
4851,2527,6.0142,437400
6960,4367,4.7953,210900
5643,3841,4.0542,168400
3941,1897,4.88,343900
1973,1112,3.8512,163800
3983,1568,4.6458,213400
3497,1839,5.4216,263000
2196,1215,4.8,196900
1379,937,3.6217,195300
4048,1637,7.3463,355600
4392,1490,10.5424,500001
4311,1426,9.8177,500001
4573,1619,5.7704,500001
2665,964,15.0001,500001
3416,1929,4.0147,107400
10264,5871,4.2329,145500
2798,1236,4.8667,239900
2415,1215,5.5418,326100
2142,986,5.7051,326000
1804,730,6.4761,397500
3585,1401,4.125,330000
1095,672,3.4087,209200
3200,1668,3.375,260400
3787,1992,3.301,251200
1554,802,4.2312,272600
2201,1194,4.1136,279900
832,419,3.1576,225000
2869,1627,5.0736,270700
2253,1262,3.4375,259800
4275,2812,3.3512,214100
676,543,3.2361,187500
2178,1153,3.6083,212000
2462,1843,3.2312,211900
1370,1062,3.5156,199300
1554,1427,3.125,207100
2873,2758,2.5985,168600
2245,1540,3.7986,171000
1391,1025,3.2375,176800
1392,1471,2.63,143800
2976,2117,4.1058,167300
1204,1002,3.0577,163300
552,807,3.25,153300
1625,1134,4.5595,164900
1478,916,3.9688,169800
3304,2032,3.2093,167800
1887,1006,3.1554,170700
3400,3017,2.4607,155600
928,913,2.6991,147100
2228,1558,4.023,157700
1776,1180,4.6406,169200
1007,776,3.8672,162700
2502,1849,3.8846,164100
1145,1651,3.125,120300
1819,1679,3.5562,146000
1138,964,4.537,185300
2223,2008,3.0777,160800
2436,1303,6.1968,344700
2407,1422,4.2619,139700
4934,2668,5.748,284200
2399,1613,3.6339,220100
3405,1945,5.7652,299100
2943,1703,3.7091,225900
1789,1347,3.425,189700
3771,2196,7.0113,319700
4822,3868,2.5978,142900
3481,1660,5.7965,228200
2711,1305,8.5407,398800
1391,810,3.8792,218200
4422,1936,6.4288,320700
1822,643,9.8346,401700
1179,369,5.1824,500001
1240,513,4.9044,485000
5126,2429,9.5268,437900
3851,2169,3.0101,116300
5144,2846,4.5615,137200
3490,1713,4.5461,242400
238,142,0.4999,500001
1282,431,6.1159,470800
2690,1149,3.88,281100
1238,377,8.4546,500001
788,413,5.9546,396700
1897,733,7.4185,500001
4465,2273,3.5671,228500
1598,807,5.5067,325000
2921,1541,3.6827,264100
1685,757,4.2434,270500
2628,1494,3.9464,257200
1969,927,5.5924,285300
2679,1605,3.5313,213200
2830,1500,3.0819,214600
1823,1485,3.7222,207200
2557,1715,2.9196,208800
3214,2316,3.7066,206800
1716,1343,2.9688,211400
5841,3273,4.7222,185100
3789,2551,2.9321,144200
1248,1282,3.2031,147600
1914,2122,2.5969,150200
1091,890,2.7679,176400
1973,1322,3.4861,158100
1188,1373,2.9107,150900
1683,1369,3.6196,170700
1419,1125,2.5,162000
2024,2028,2.8152,163900
1042,863,3.6033,157800
1492,1041,4.0677,165800
1026,789,4.2,163200
1678,1380,3.5481,163300
1620,1258,3.9773,166700
825,590,4.6333,161200
2104,1659,4.0096,165000
1431,1162,4.369,165400
1743,1328,3.0944,162800
3933,2219,2.4926,171400
859,673,3.7143,158200
1478,1127,3.525,158000
1558,1179,3.2188,165100
2263,1626,3.5556,172800
1631,1034,4.5382,165700
2118,1414,3.7238,166800
1551,1100,5.1187,168100
3259,2744,2.8608,165600
1366,920,0.9946,159900
1573,1200,2.895,146900
1167,733,4.2083,168300
1768,1155,3.558,161100
834,603,3.7321,167500
1152,981,3.2857,153600
1071,1412,3.1917,114900
2131,2045,4,145700
1035,1545,3.0357,123400
1901,2685,3.2639,120100
3065,1840,3.6417,208100
2536,2012,4.1406,200800
3260,1969,3.5268,215500
1018,684,3.3333,198800
778,539,3.2679,236500
2259,1378,5.8733,287000
1055,682,6,191300
4261,2621,6.2427,288700
2906,1806,4.8448,194600
2377,2042,3.625,170400
3696,2827,3.3438,153300
2188,2727,2.7759,136800
2636,3412,2.8095,118300
6295,2292,7.6084,402500
3675,1457,6.0553,369400
2879,1109,6.9324,364700
5321,1969,5.0102,340100
3083,960,1.9074,68500
2013,664,2.2708,67500
529,193,2.0952,71300
996,366,1.2813,46700
1967,692,1.6111,54300
1995,743,1.4617,46900
2021,696,7.1673,340700
1218,797,2.4348,104800
4558,1543,2.8548,138500
23386,10493,4.0211,144000
1537,1239,1.9722,99200
9761,4970,4.5266,142900
3113,1139,10.2289,500001
2875,1131,4.3083,269300
2199,942,5.0393,321100
1467,688,4.3452,260100
271,150,2.2321,237500
1345,749,2.8007,210900
3092,1457,5.3377,373800
2966,1231,7.8347,500001
2638,1284,5.4536,342700
1883,764,6.5078,414800
2966,1231,4.6442,316800
1904,1183,3.6696,210400
6010,3620,2.7436,201700
855,745,3.0125,224000
1068,949,2.3462,188500
1003,769,3.1607,218300
1513,986,2.6901,235600
1430,1165,3.0357,206000
593,481,2.5938,199300
1036,1058,3.2578,184200
1054,1032,2.3424,188500
794,709,3.175,170800
3230,3485,2.629,171600
1146,1163,2.2083,185600
1764,1379,3.5357,199000
1543,824,6.4385,272600
5580,3842,3.6512,168500
4853,2855,3.2622,208600
1984,1099,4.5526,250200
897,1094,2.0729,114100
1465,1538,3.5469,150600
1108,1151,4.3333,149500
1722,1174,3.045,160600
1580,1290,4.1458,162500
1369,1005,3.692,172600
936,691,3.6875,169500
1226,1068,3.1607,172200
1473,1108,4.1389,166000
2664,2033,3.7326,164300
3271,2593,3.3621,169700
1116,719,3.425,163200
1911,1407,2.7647,163000
1991,1306,4.5,166600
1083,737,3.5583,170800
2762,1576,4.0846,183400
1976,1379,3.8542,175400
1950,1183,4.1449,175300
1585,1205,4.5306,183400
2381,1669,4.6976,171100
1226,711,4.5699,170800
1994,1491,3.7383,166200
879,547,5.3146,168600
1983,1157,3.5455,168300
1442,990,4.0517,162200
1582,1356,3.4211,141100
2369,1546,3.7969,159400
1215,862,3.7604,158700
3326,2533,3.1441,176300
3399,2465,3.099,166600
3119,1887,3.8654,195300
8120,5026,6.3093,286500
1594,1061,4.7917,217700
4412,2380,4.54,213100
2734,1308,5.9265,227300
2219,1042,5.2299,239800
1878,846,7.1937,254400
1371,666,5.0795,243300
1724,838,4.4831,253900
4210,1911,5.8491,247300
4231,1694,6.6312,360100
2146,852,6.6137,342700
2301,847,1.7208,67500
5359,1829,1.7675,61300
1388,515,1.8015,62000
6239,2615,6.6188,380000
1671,871,4.6369,422200
1397,491,8.7397,500001
4770,2261,5.883,295100
3914,1524,2.415,137500
10356,4562,4.9806,141100
1489,774,3.275,103500
2843,1517,2.6658,106900
20377,11973,3.3086,138100
2168,902,5.894,300900
2321,880,7.7108,450000
1774,753,4.7241,279600
4505,2296,3.4811,300500
978,543,3.0096,199000
1442,782,2.7431,177500
3066,1287,3.5804,324400
1917,754,12.4237,500001
1835,636,11.6471,500001
3783,1601,6.3013,500001
3367,1317,6.706,351400
1788,792,3.75,280000
2578,1628,2.34,210900
1937,1352,3.81,234600
2822,1434,3.8906,238300
2352,1517,4.2833,258000
1460,829,4.875,227300
2894,1977,2.543,208100
4510,3985,2.6884,204600
1349,1188,2.5,182100
3661,3816,2.5104,185000
3437,3817,2.25,203700
1179,1255,2.5964,176800
1463,1492,3.25,179200
2852,3100,2.9524,178800
3559,2975,3.756,183300
1495,1296,2.913,152300
1022,653,3.0625,189400
1143,508,4.9107,279900
1436,1005,3.4297,195800
1724,1336,1.3365,183300
2122,1929,2.7311,169300
1529,1271,3.6875,175200
1326,933,3.4306,162500
965,599,2.7202,190300
1357,1042,3.4083,156700
1743,981,3.6667,173100
1657,1195,4.1711,160100
2013,1476,3.9549,192100
1184,946,4.0357,162500
3635,2171,3.7308,196900
1666,995,4.5694,204300
1947,841,6.1814,453600
639,460,3.1607,189000
1124,707,4.375,174500
1622,845,4.5769,186100
1474,1205,3.1397,166800
2017,1388,4.0774,171600
513,399,4.875,167600
726,490,3.6389,167600
1080,719,4.2679,175800
1592,1238,4.9732,165000
1237,776,4.325,166000
1880,1229,4.4167,174600
796,740,3.6,156400
1061,768,4.75,161900
1151,809,4.7813,160000
769,498,4.7159,182100
994,602,3.5865,178000
2242,1483,4.4934,185600
8046,4276,6.5515,319600
3052,1588,4.3397,268100
1473,713,5.9493,228000
2825,1352,5.2639,242000
993,572,5.7039,277600
690,316,3.7813,209100
1915,850,4.7222,225800
1557,697,4.5417,219600
1790,924,5.296,226200
2059,825,4.0603,225200
1408,702,4.875,222500
2422,1193,4.8462,225700
1946,871,5.2155,254800
1930,915,5.2713,244400
856,451,5.1993,246000
1962,786,5.62,239600
1814,850,5.0574,240800
3359,1522,5.1805,249400
2370,996,5.7368,287200
4466,2134,5.7389,251800
997,531,4.7773,400000
2119,872,4.537,495500
2035,934,4.2287,500001
1310,563,4.6528,457100
1430,620,9.532,483300
3571,1434,5.9009,376000
3374,1484,4.99,261600
2837,1453,3.1115,234600
3158,1229,5.4223,325600
2489,1101,4.2065,320300
1950,1038,2.6172,196100
2193,1186,3.6474,184100
2401,810,6.0948,358700
3298,1417,4.1324,434800
2954,1152,11.5609,500001
2131,753,6.7099,352200
2812,1329,5.2503,292900
2012,1454,3.3229,226600
3090,2109,3.3801,192500
1106,779,4.5446,244800
3172,1829,3.3966,243200
2350,945,3.3421,201000
1130,698,5.2719,244400
3215,3072,2.3393,202300
1273,1148,2.1061,214700
1547,1700,2.5488,187500
2609,2221,2.3224,192300
2416,1750,2.8229,163700
2628,2208,2.9764,160300
3436,1729,5.9941,266700
3913,2264,5.2446,258000
1727,932,3.95,210200
1539,1122,2.4605,196000
815,775,2.2847,190000
1141,1189,2.2042,162500
2573,1568,3.0208,193700
2403,2103,2.7292,193800
446,410,3.3942,147200
2125,1672,3.6397,166600
2784,1278,4.3882,261600
2049,1105,4.8036,261300
2319,941,6.4319,452300
1723,617,6.7501,400000
1434,786,4.4375,244900
1949,909,5.1587,296600
2098,1036,5.0258,255400
2670,1196,3.8427,283500
1205,736,3.2011,162500
1414,983,4.1767,156600
1016,729,4.3,151300
1088,617,3.8824,193100
889,597,4.9609,186700
1981,1231,4.0878,153700
1347,748,5.1423,183100
2604,1465,4.4896,184600
1323,1084,5.0753,178000
4173,2471,3.5052,196000
1139,772,4.375,204700
1623,868,3.5893,276000
3203,1761,4.0911,239700
1379,795,4.6713,231800
1255,685,4.2,226900
887,482,4.125,219500
2418,1138,4.8393,216300
1588,692,4.8594,220300
1756,798,5.5581,218300
1523,717,4.875,218900
1463,722,4.8438,226300
1074,496,4.625,217400
1249,517,4.4196,223100
1784,964,4.2703,220900
1726,820,5.5767,218100
1462,664,5.1171,225300
1987,1095,4.3203,232800
1756,836,4.375,218200
1999,887,3.8162,221900
1742,857,4.6875,218200
1694,776,6.2187,257900
1252,558,3.9722,235600
1837,810,4.3897,235000
1680,744,4.66,244800
1034,444,5.4602,231600
2223,1039,5.7942,257000
1993,884,5.587,244900
3985,1327,7.9767,500001
9103,3333,5.1508,367300
1608,592,5.0926,390500
2569,785,5.4011,346400
1222,565,4.8482,500001
1258,645,5.0476,500001
40,14,1.125,225000
4230,2789,2.5179,104000
4915,2833,4.3229,130000
3019,1580,3.7804,113500
2479,1219,4.6417,125700
5319,2439,4.6629,131500
2189,1459,2.3958,94500
2614,1949,2.0547,102600
6446,3427,3.9936,148500
433,147,3.9583,162500
2405,970,8.7835,444100
2344,1537,3.4777,230600
2357,891,6.3467,352700
2948,1363,4.7098,287900
2166,1308,3.0417,222600
1835,777,3.7159,315400
2705,1551,2.2692,225000
1760,984,3.4167,198200
2337,981,5.8692,490400
3420,1718,3.1033,217900
2935,975,11.706,500001
2907,956,15.0001,500001
2787,1057,10.2317,500001
2124,785,5.2131,359600
2057,1103,4.0556,282600
2918,1435,4.2344,306300
4870,3518,3.2307,188400
3603,2719,2.6981,208000
1437,980,5.3032,245700
2433,1565,3.2344,234900
2248,1762,3,253900
1770,1410,3.0592,212500
1050,820,2.025,215600
1526,1304,3.1892,214700
1137,800,2.4286,233300
1190,965,2.2261,211800
5137,4945,2.4599,181600
3775,2416,3.6625,247600
1064,608,4.0938,246900
1038,598,5.9214,254900
2103,1355,4.5795,235300
2595,1751,5.6112,308000
1595,1105,2.4286,205600
2655,1466,3.0529,265800
1417,1068,2.4259,164600
1956,1472,1.9867,166300
3281,2385,2.7308,173800
1705,2037,2.4219,137500
932,717,3.6875,178100
708,471,3.2,197400
3099,2025,3.183,191100
2105,956,4.4125,246000
1301,877,4.625,191300
1426,698,4.8523,267300
2863,1243,6.0723,297200
2752,1211,5.0526,269800
1604,802,5.752,291000
1813,825,5.2485,323800
2206,973,4.675,283000
2210,1047,3.3292,271300
580,466,3.0909,187500
6336,4673,2.5893,183700
2053,1023,3,216600
1432,749,3.5772,207400
620,381,3.7917,183900
1518,857,3.6917,197500
682,491,4.6389,173800
2666,2030,2.5432,180900
6876,5162,2.9293,170800
2344,1305,3.1923,191900
1083,557,3.0795,218400
1768,983,2.6184,243800
1633,837,3.0405,188000
3764,1919,2.5057,156300
2663,1277,4.3194,199500
2116,972,4.8516,213600
2386,1101,4.6908,218200
2706,1331,5.0719,220000
2143,1047,4.4423,216000
1242,565,4.1094,215800
1734,797,4.8917,222800
1712,691,4.3594,221300
1544,701,4.1375,226000
1493,671,3.2794,224500
2565,1155,4.6087,224600
1665,721,4.6875,250700
1257,530,5.3701,251400
1835,774,2.7092,256300
1471,767,4.3317,232400
1762,738,4.1687,240700
3035,1127,7.0796,500001
3070,1240,3.7813,461500
3330,1220,7.3672,500001
2072,742,3.9934,500001
1943,1078,1.1296,93800
2156,1269,2.75,96800
3670,1986,3.682,108800
718,347,4.025,102600
2370,1746,3.7464,113500
2726,1773,4.8295,319100
1449,621,6.1824,274100
2676,1022,6.4288,295500
1271,573,4.9312,240200
1213,529,5.6629,234000
2539,930,4.7269,303900
1621,1015,2.92,242200
2203,1012,4.0714,234000
3094,1309,6.4223,310900
1962,1329,3.2898,200000
2162,1337,2.2095,176700
2682,2050,2.4817,169500
2099,1252,3.1875,173100
1665,1095,2.6038,155600
3559,1658,3.2643,163900
5465,2511,3.4531,210900
3156,1109,10.7397,500001
1780,755,4.825,351100
3050,2153,3.1103,214100
700,662,3.0078,191700
2562,1936,2.2214,219000
3862,2773,2.7816,188200
1931,1367,2.575,228400
2517,1883,2.5787,223000
1880,1404,3.085,220500
2130,1870,2.3664,192200
1692,1130,2.8672,198500
1714,1590,1.1875,183900
3229,1879,3.9531,268400
2205,1392,4.3646,211400
1444,881,3.1083,220500
1938,1118,3.5833,227300
2203,1470,2.8385,192200
4267,3176,3.0212,208200
396,261,2.9044,172900
734,565,2.2813,192000
2988,2144,2.3359,189300
1243,788,2.5852,185100
984,1024,2.125,153500
782,827,3.1538,154300
1759,837,4.6992,251900
1736,823,5.4042,241600
1040,557,4,254700
1933,958,4.4732,266000
1500,706,4.5625,253500
1709,778,3.9036,326600
522,373,3.5481,265000
2040,1775,3.5227,202400
2122,1578,3.1496,191900
1793,1222,2.6862,195800
984,615,4.1786,201500
3069,1932,2.4925,177200
1967,910,4.4948,190600
561,261,4.9375,183800
916,552,4.9107,222000
1475,827,4.7663,191600
1814,886,3.4868,208400
1458,686,3.9038,202700
599,361,5.0395,225800
3668,2368,2.8906,204900
2823,1723,2.7121,165500
3088,1981,2.2027,192700
1788,1131,3.5278,166100
1606,735,4.6765,198400
3638,2326,3.3304,194600
1866,919,3.5833,200200
2259,1183,5.1805,201600
2110,1128,4.6019,208400
1885,1049,3.55,212800
2439,944,4.2841,312400
3008,1584,3.5465,213200
3087,1474,5.5196,227600
1710,786,4.2917,314700
1785,779,4.3056,228600
1619,815,5.5449,232200
1530,711,5.1795,225400
665,273,3.7321,223700
1228,572,4.325,223900
1013,493,4.7845,231400
1749,855,4.6473,227100
1903,928,5.395,241900
1509,821,4.0893,223000
1496,743,4.4312,226000
1026,505,4.3438,233600
2317,1057,4.375,234800
2153,947,5.0072,236200
1245,508,5.3441,480600
2937,1132,4.6133,500001
6678,3625,3.7716,242900
1016,361,7.5,434500
3039,1199,3.7232,500001
3697,1436,4.6852,395200
4365,1661,5.3046,360700
2216,940,4.5469,381000
2834,1175,4.7875,363800
1543,652,4.25,439300
2181,1057,4.625,118100
2347,1482,2.8194,93000
1984,1071,1.2532,102100
1379,696,2.1167,94900
2118,1108,3.4327,100300
2815,1447,4.2679,119600
2666,1337,2.4432,101100
1703,775,4.5455,126500
1257,551,4.6591,247200
9882,4892,3.7636,167600
2569,1282,5.0953,207400
1678,737,3.7222,237000
3595,1686,4.73,201000
1493,1000,3.3068,154400
3457,1700,3.5164,226500
2687,1716,2.7201,205700
1054,1056,2.3,146700
2384,2073,2.3062,158000
1843,1449,2.2174,215400
2973,2846,2.6217,156300
2598,2869,2.1377,142300
407,227,1.5156,187500
1256,855,1.9923,500001
1896,971,0.8438,175000
10239,4210,3.6997,225000
3404,1694,2.9511,282300
4438,1650,5.1072,479700
3569,1505,4.9167,251100
2742,1153,8.1124,500001
4061,2290,2.8919,258400
4073,2411,3.108,231000
1745,1547,2.85,219000
4164,2934,2.7483,218800
3447,2622,2.918,208700
1433,1110,2.3464,191700
3988,2909,2.7036,170000
2999,2937,2.9405,217800
695,523,3.665,220400
2390,1246,3.7857,245700
1880,954,3.875,236400
5478,3062,3.4118,341100
1129,509,2.6146,243200
1569,1203,2.4612,180500
2003,1291,4.0625,201100
1307,967,2.75,178300
1715,1740,2.7019,153300
1384,1825,1.4178,145500
1912,2077,2.6,180600
1007,1060,3.0179,153700
702,834,2.25,162500
1407,1763,2.6364,150000
2064,2461,2.0524,160800
1846,2576,2.63,156000
590,620,2.1731,143800
2744,1333,4.0536,277200
1812,822,6.7744,294100
1413,630,6.8564,300000
1462,600,5.2015,302000
1942,891,3.6635,282100
2987,1561,4.0039,226500
2841,1612,2.9205,196600
3205,1647,3.3681,223900
3731,2313,3.2237,218200
932,578,4.375,177600
1096,569,4.475,182300
1766,974,3.0703,180800
1981,1371,3.1204,204200
1379,883,3.3375,180100
2145,1150,3.5972,225800
1744,1048,4.5735,195500
1159,740,4.9107,179600
1250,866,4.1708,175000
3305,2085,2.6641,168200
1661,985,4.3942,219500
1607,799,5.084,214100
6618,4396,3.0989,171400
1276,538,4.8667,218300
1404,652,4.2062,195400
1774,934,4.8571,203300
1703,845,5.0106,210800
1908,890,4.575,336000
3043,1316,4.4286,254900
2107,876,3.2024,339400
2506,1230,3.4211,203900
1519,681,4.6452,212500
2388,1461,3.1711,215400
2573,1478,3.4833,209400
2101,1038,3.108,217900
1898,940,3.4107,233300
2208,791,5.8408,500000
2792,1301,3.2917,307400
2677,1144,4.3889,378000
914,322,4.7361,418800
2960,1179,3.5214,398100
1633,741,3.385,408300
3242,1080,3.901,432500
1995,867,4.0795,400000
2484,792,5.1815,500001
1671,821,2.16,56800
1338,709,3.5625,101400
1503,842,2.5278,97700
2696,1192,3.9615,116300
1300,712,3.25,107500
12317,6291,3.5732,146900
2111,1067,3.7344,111400
2765,1422,5.4727,238900
1786,1018,4.1518,182100
1997,1037,3.7932,210300
1717,868,3.6094,160700
1750,1398,2.3967,163100
2612,3117,2.3029,148800
1521,1118,3.3125,154900
2553,1740,2.0278,127500
930,1024,1.0846,146400
1925,2258,1.6921,162500
2471,1661,2.2765,146600
2410,2135,1.6887,148600
1711,1474,1.2891,181300
275,273,1.1667,500001
806,698,2.3654,137500
403,361,1.625,187500
543,454,2.3,55000
1499,755,3.875,258300
2443,947,4.7344,314700
824,430,3.6389,215000
2763,1143,4.7298,500001
1518,725,3.4018,204500
1789,848,6.0199,500000
1810,742,3.8529,350000
6119,2719,3.8427,319700
2375,930,7.4111,469100
1746,704,3.7895,364800
1000,363,4.2981,352800
4325,1927,3.9485,419100
3514,2277,3.1211,229300
2203,1238,4.4306,225800
1935,1456,2.8062,192800
3697,2446,3.3988,199200
1053,941,3.125,205600
1983,887,3.2875,234400
1626,1063,2.4348,220700
3855,2517,3.505,204300
3362,1939,3.5089,305800
647,457,3.6875,162500
1099,787,3.7794,194600
818,664,2.1944,203300
603,588,2.0536,186400
2006,1687,1.7991,158800
2729,3004,2.3438,154300
2344,2195,2.7022,151900
3218,2368,3.1406,175300
1184,1320,2.3,165600
3361,3264,2.2813,145600
1903,1882,2.4071,170500
927,970,2.1591,181500
2418,1397,3.1083,285500
1471,2272,2.5385,160900
1201,1482,2.4821,150000
2753,1592,2.7875,209000
1594,1003,3.3289,199700
1839,1034,4.9808,212300
1745,1084,3.3411,220500
3096,1676,4.6583,207300
1948,1128,3.7614,255900
1335,804,4.3194,198400
1890,1232,4.375,184200
915,646,2.5208,182800
1038,912,2.5875,161200
901,760,2.9643,147400
574,610,3.3182,133300
1590,1299,4.0313,163200
2053,1721,2.3456,146100
2850,1855,2.809,144600
4426,4196,3.274,148300
4232,2688,2.52,146000
2690,1747,3.3713,198200
1578,827,4.8942,194100
2403,1385,4.4934,213800
2630,1069,2.4659,209000
1491,699,4.0781,217300
1435,606,4.1439,212600
4071,2144,2.7268,218100
1508,635,3.75,221300
2448,894,7.6526,481300
1886,1167,3.1042,219800
3700,1657,3.7826,196300
4013,2297,3.0453,185900
2768,1277,3.6193,250000
1584,904,2.0875,181300
3056,1600,3.3003,207800
4436,2176,3.5812,198600
3448,1621,4.5,339800
2428,1312,2.7212,266300
4366,1912,3.5292,361800
3043,1398,3.5528,271100
2916,1183,3.5985,500001
1297,776,2.5875,68900
6007,2680,4.1719,117200
2918,1365,4.8787,127700
4303,2240,3.7807,110900
2994,1571,2.5902,85400
7294,3123,4.9904,154100
11008,4098,6.4865,204400
1810,988,3.8203,176000
2195,1377,3.5887,153500
2076,1641,2.2326,149200
1840,1218,4.25,177900
1870,1345,1.8932,136100
1193,703,3.1741,163800
1508,674,3.5909,155400
1576,696,6.07,261800
1284,925,1.7321,178400
1276,545,4.1518,230700
1721,571,6.6031,500001
821,229,7.3715,263000
3039,973,7.4817,500001
1551,816,8.2435,500001
2231,940,5.4165,435100
1091,632,3.7235,263600
1722,1122,3.1204,224000
1568,1093,3.1442,162100
3334,2881,2.1696,170800
1523,1338,3.2031,144600
247,925,3.5769,135700
4284,2163,6.1509,315100
332,302,3.1895,156300
1076,1535,2.7026,145000
2991,2486,1.5078,181900
852,806,1.3971,134400
894,925,2.6042,145000
1377,1142,3.1724,141600
1218,1175,1.9688,173900
814,773,2.5313,156900
1256,1511,1.7981,166000
1734,2053,2.1442,149200
1474,1962,1.8715,139600
1552,1919,2.2596,137500
690,952,1.6354,158900
931,732,1.7679,142800
1341,1233,3.6583,150500
1196,1448,2.9375,162500
1444,1890,2.1181,176600
1347,1756,1.9464,190600
1363,1897,2.3929,191100
2419,3208,2.1743,176000
221,286,1.9063,175000
2210,1270,4.7708,178600
5675,3317,3.9352,232900
3341,1685,3.6936,238300
757,474,3.7361,179800
1368,899,3.5938,161300
2062,1134,4.4881,218900
3445,2467,3.1507,144000
1806,1146,2.9643,162200
2922,3013,2.9531,127100
2410,2399,2.7339,156700
1655,1201,1.7344,145800
940,599,3.2813,190900
2180,1634,3.0114,167000
1694,1181,2.9779,169500
2287,1804,1.9903,170300
1854,1363,2.6406,156700
6607,4066,2.5068,156300
2668,1315,4.0714,215600
1979,952,4.0815,216200
2831,1462,3.8646,214600
2444,1199,4.1538,218800
2220,1002,5.0719,219500
1348,643,3.6447,211000
3564,1530,5.1806,175000
3061,2135,2.875,164000
5463,3010,3.233,199100
3742,3916,2.4,153700
3248,1819,3.1739,222900
4075,2470,2.3317,222500
